plot,lon,lat,cec,clay,orgCarb,sand,silt,orgMat,tot,lab,org,occ,sec,apa
Rhone.Isere_7172.50084,5.765675493,45.19599375,19.28,21.28,14.75,45.7,33.23,25.37,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7173.50085,5.766169103,45.19616164,19.28,21.28,14.75,45.7,33.23,25.37,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7174.50083,5.767340809,45.19439557,19.33,21.65,14.4,43.08,35.48,24.768,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7175.50084,5.769653041,45.19562017,18.5,20.65,16.35,46,33.35,28.122,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7176.50084,5.769766364,45.19512593,18.5,20.65,16.35,46,33.35,28.122,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7178.50085,5.772801116,45.19668194,18.78,22.43,13.95,43.3,34.28,23.994,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7178.50086,5.772721572,45.19748589,18.78,22.43,13.95,43.3,34.28,23.994,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7178.50087,5.773244267,45.19767491,18.78,22.43,13.95,43.3,34.28,23.994,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7178.50186,5.777641162,45.28682034,29.88,23.88,38.55,39.58,36.58,66.306,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7179.50085,5.774157476,45.19610871,18.73,20.78,17.78,49.23,29.8,30.5816,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7179.50086,5.774467522,45.19730531,18.85,22.5,14.98,44.68,33.13,25.7656,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7179.50087,5.774564669,45.1976599,18.85,22.5,14.98,44.68,33.13,25.7656,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7180.50185,5.780225974,45.28641898,28.63,23.3,34.75,42.3,34.33,59.77,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7181.50185,5.781023512,45.28641198,30.4,24.35,35.5,42.15,33.18,61.06,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.49937,5.771166813,45.06310873,18.3,21.48,20.93,44.05,35.15,35.9996,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.49938,5.771804089,45.06435018,18.7,21.78,20.53,44.08,34.7,35.3116,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.49939,5.771677103,45.06452079,18.7,21.78,20.53,44.08,34.7,35.3116,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.49941,5.772362659,45.06708838,18.5,22.78,19.95,43.4,33.5,34.314,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.50081,5.777738728,45.19277271,19.85,21.53,14.25,44.05,34.48,24.51,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.50082,5.777763119,45.1932193,19.85,21.53,14.25,44.05,34.48,24.51,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.50083,5.777699668,45.19444984,19.55,22.35,14.95,44.48,33.7,25.714,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.50183,5.782589251,45.2843805,29.7,24.65,33.75,40.63,34.85,58.05,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7182.50185,5.782559412,45.28604611,29.7,24.65,33.75,40.63,34.85,58.05,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.49936,5.772754345,45.06257137,18.9,22,20.65,43.38,33.95,35.518,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.49942,5.772767002,45.06736242,18.5,22.78,19.95,43.4,33.5,34.314,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.49943,5.772496602,45.06808557,18.5,22.78,19.95,43.4,33.5,34.314,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.49947,5.773561355,45.07179922,17.75,21.05,17.6,46.03,32.9,30.272,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.49948,5.773573341,45.07288304,17.75,21.05,17.6,46.03,32.9,30.272,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
Rhone.Isere_7183.49949,5.773487762,45.073833,16.8,21.68,20.18,42.85,34.73,34.7096,272.3787231,19.74278259,67.55552673,102.826088,30.9780159,51.27628708
